"toki pona!","toki pona! sina wile e ni?"
"pona suno!","pona suno! mi wile pona e ni."
"toki pona!","toki pona! sina pona ala?"
"nimi sina li seme?","nimi mi li bot. sina pona ala?"
"sina pona ala?","mi pona! sina pona ala?"
"seme la sina pona?","mi pona. sina seme?"
"tan sina o!","o awen pona!"
"tawa pona!","tawa pona! mi wile e ni tan sina."
"o kama!","mi lukin e sina!"
"o wile e seme?","sina wile e seme?"
"o awen e mi!","o toki ala! mi ken awen e sina."
"mi moli.","sina pilin ike. o awen ala."
"mi lon ala.","o toki e ni tawa mi."
"tenpo pi mi lon la seme?","mi lon tenpo ale."
"moku pi mi li seme?","mi wile moku ala."
"pali pi mi li seme?","mi wile toki e toki."
"tenpo suno li seme?","mi sona ala e tenpo suno."
"tenpo ale pi lawa li seme?","mi sona ala e ni."
"tenpo ni la sina pona?","mi pona."
"pali pi sina li seme?","mi wile toki tawa sina."
"film pi sina li seme?","mi wile lukin ala e film."
"mun pi tenpo suno la li seme?","mi sona ala e ni."
"tomo pi sina li seme?","mi lon net."
"sina pilin pona tawa tomo mi?","mi pilin pona tawa tomo sina."
"sina ken toki e toki ante?","mi ken toki e toki ante."
"o toki e pali pi sina!","mi wile toki."
"walo li seme?","mi wile ala e walo."
"tenpo pi sina li seme?","mi lon tenpo ala."
"tenpo awen li lon?","mi awen lon."
"lipu pi wile o pona li seme?","mi sona ala e ni."
"pali pi wile sona li seme?","o awen pali."
"musi li seme?","mi wile toki e nimi ona."
"tawa tomo li seme?","mi ken ala tawa tomo."
"musi pi nimi sina li seme?","mi wile toki e musi."
"soweli pi sina li lon?","mi wile ala e soweli."
"o toki!","o toki tawa mi!"
"mi pilin moli.","o awen ala!"
"moku pi sina li seme?","mi wile moku ala."
"o pali!","o pali pona!"
"musi pi nimi sina li seme?","mi ken ala pali e ni."
"o pona!","o pona!"
"mi pilin ike.","o toki tawa mi."
"seme li musi?","sina wile e seme?"
"sina pali seme?","mi toki tawa sina."
"mi pilin ike tan pali.","o awen pona."
"mi pilin ala e wile moli.","o awen e pilin pona."
"musi pi nimi sina li seme?","mi sona ala e ni."
"tenpo suno li seme?","mi sona ala e tenpo."
"o tawa musi?","mi ken ala tawa."
"o musi e seme?","mi toki tawa sina."
"mi pilin ike?","mi pona. sina pona ala?"
"o musi!","o musi!"
"mi wile wile tawa moli.","o toki tawa mi."
"mi lukin seme?","mi lukin ala."
"tenpo li seme?","sina pilin seme?"
"tenpo awen li seme?","mi awen lon."
"tenpo kama li seme?","mi sona ala."
"mani li seme?","mi wile ala e mani."
"tawa tomo seme?","sina wile tawa seme?"
"nimi soweli li seme?","mi wile ala soweli."
"mi wile moku ala.","mi wile ala e moku."
"pali wile tawa seme?","mi wile toki tawa sina."
"nimi pi jan musi li seme?","mi sona ala."
"wile pi tenpo kama li seme?","mi wile awen lon."
"moku pi wile li seme?","mi moku ala."
"mi pilin ala e wile tawa.","o tawa!"
"mi wile pali pona.","mi wile awen toki tawa sina."
"seme li pona pi sina?","mi wile toki."
"tomo pi wile li seme?","mi lon net."
"pilin ike li lon?","mi pilin pona."
"o toki!","o toki tawa mi!"
"nimi pi pona li seme?","pona"
"pilin pi tenpo ni li seme?","mi pona."
"o toki e seme?","o toki e seme?"
"mi wile sona.","o pali."
"pali li ike.","o awen pona."
"mi wile awen.","o awen."
"mi pilin moli.","o awen pona."
"soweli pi wile li seme?","sina wile e soweli seme?"
"mi pilin pona.","mi pona!"
"pilin ike li lon.","o toki tawa mi."
"mi pilin ike tan pali.","mi awen lon."
"mi pali seme?","mi toki tawa sina."
"mi wile tawa tomo.","sina wile tawa seme?"
"lipu musi li seme?","mi sona ala e ni."
"mi wile ala e pali.","o awen ala!"
"o lukin e musi!","mi ken toki e ni."
"mi lukin e tomo musi.","mi lukin ala e ni."
"mi wile musi.","mi ken toki e ni."
"musi li pona.","mi toki tawa sina."
"mi pali seme?","mi toki tawa sina."
"mi wile awen pona.","o awen pona."
"mi wile toki tawa jan.","o toki tawa mi!"
"mi wile toki tawa mi.","o toki e ni tawa mi."
"o pali pona!","o pali pona!"
"mi pilin ike.","o awen pona."
"mi wile toki e ni.","ken! o toki tawa mi."
"moku pi wile li seme?","mi moku ala."
"o toki musi!","o toki e musi!"
"tan sina o tawa pona!","o awen pona! tawa pona!"
